,subject,session,task,run,space,directory,fullpath,edgefrac,hfc,gmp
31,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.38352969257171393,0.8210526315789475,0.40105342362678703
32,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.2930559812347192,0.12631578947368421,0.6339787632729544
33,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.38042133650843085,0.09824561403508773,0.4263456090651558
34,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.30060849368431797,0.1192982456140351,0.5445873081708834
35,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3622940793762586,0.2807017543859649,0.44552602021714716
36,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3220528057852841,0.45614035087719296,0.4102141680395387
37,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.27100197364477846,0.18947368421052632,0.6396574440052701
38,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.2921413997186425,0.09824561403508773,0.6235083532219571
39,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3336428580984195,0.6105263157894737,0.43792964011322283
40,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.34968962808370935,0.4771929824561404,0.43014996053670085
41,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.2857402274919195,0.11228070175438597,0.5590994371482176
42,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3406929228306999,0.37192982456140355,0.5428380187416332
43,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.32005471992460727,0.34385964912280703,0.5024390243902439
44,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3452434750638924,0.014035087719298246,0.4565371024734982
45,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.30546331661856463,0.16140350877192983,0.5679333680374805
46,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3203764322803805,0.43508771929824563,0.5081621906266456
47,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.31239267227383993,0.1754385964912281,0.5720489538097118
48,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.35499040635641593,0.624561403508772,0.23260437375745527
49,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3279676757499144,0.5473684210526316,0.40828402366863903
50,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.31486564323867394,0.5473684210526316,0.41516709511568123
