,subject,session,task,run,space,directory,fullpath,edgefrac,hfc
29,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.16999972438779556,0.3088235294117647
30,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.18741284331125033,0.38235294117647056
31,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.19827450592067247,0.5882352941176471
32,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.19150660460529884,0.19117647058823528
33,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.17706400914094436,0.22058823529411767
34,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.16966954903489911,0.27941176470588236
35,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.18658951574817573,0.3970588235294118
36,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.17483804059475835,0.29411764705882354
37,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.18793946462397157,0.3088235294117647
38,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.1821186829303351,0.29411764705882354
39,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.18949662050112573,0.19117647058823528
40,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.23450232376733807,0.38235294117647056
41,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.24001511360573763,0.38235294117647056
42,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.23762169432862834,0.3970588235294118
43,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.2546185482382099,0.36764705882352944
44,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.2596007348258621,0.411764705882353
45,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.23704378174923926,0.23529411764705882
46,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.23711730325331146,0.27941176470588236
