,subject,session,run,task,space,directory,fullpath,edgefrac,hfc
36,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3095930598811974,0.10526315789473684
37,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3315920549555583,0.04912280701754387
38,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3440728857988049,0.42105263157894735
39,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.34581412986105403,0.37192982456140355
40,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.2982834644838832,0.24561403508771928
41,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3252252728553417,0.5543859649122808
42,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.30387925821904266,0.16842105263157897
43,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3197009336055507,0.5614035087719298
44,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.31341851502418394,0.45614035087719296
45,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.330833104277162,0.1543859649122807
46,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.32636937974631325,0.42807017543859655
47,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3382609000498596,0.1754385964912281
48,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3463531887261097,0.11228070175438597
